,g__Corynebacterium,g__Coprococcus,g__Streptococcus,g__Neisseria,g__Staphylococcus,g__Ruminococcus,g__Dorea,g__Clostridium,g__Bacteroides,g__Blautia,g__Rhodoplanes,g__Bacillus,g__Facklamia,g__Sphingomonas,g__Butyricimonas,g__Acinetobacter,g__Pseudomonas,g__Burkholderia,g__Bifidobacterium,g__Serratia,g__Collinsella,g__Roseburia,g__Phenylobacterium,g__Mycobacterium,g__Sutterella,g__Flavobacterium,g__Sphingobacterium,g__Turicibacter,g__Leptotrichia,g__Prevotella,g__Rothia,g__Fusobacterium,g__Methanobrevibacter,g__Dehalobacterium,g__Faecalibacterium,g__Anaerofustis,g__Stenotrophomonas,g__Opitutus,g__Veillonella,g__Ochrobactrum,g__Lachnospira,g__Brevibacterium,g__Aggregatibacter,g__Rahnella,g__Adlercreutzia,g__Sphingopyxis,g__Tannerella,g__Lactobacillus,g__Sphingobium,g__Pseudonocardia,g__Campylobacter,g__Paraprevotella,g__Enterococcus,g__Xenophilus,g__Peptococcus,g__Anaeroplasma,g__Bulleidia,g__Anaerovibrio,g__Afifella,g__Ramlibacter,g__Lachnobacterium,g__Paracoccus,g__Erwinia,g__Butyrivibrio,g__Parabacteroides,g__Megasphaera,g__Lactococcus,g__Dysgonomonas,g__Megamonas,g__Desulfovibrio,g__Mogibacterium,g__Spirochaeta,g__Atopobium,g__Phascolarctobacterium,g__Paludibacter,g__Cupriavidus,g__Porphyromonas,g__Peptoniphilus,g__Shuttleworthia,g__Zoogloea,g__Paenibacillus,g__Dialister,g__Treponema,g__Methylobacterium,g__Anaerovorax,g__Sphaerochaeta,g__Coprobacillus,g__Haemophilus,g__Capnocytophaga,g__Dietzia,g__Hymenobacter,g__Selenomonas,g__Rhodoferax,g__Granulicatella,g__Streptomyces,g__Anaerococcus,g__Mesorhizobium,g__Agrobacterium,g__Kocuria,g__Brachyspira,g__Succinivibrio,g__Leuconostoc,g__Janthinobacterium,g__Devosia,g__Actinobacillus,g__Clavibacter,g__Macrococcus,g__Actinomycetospora,g__Anaeromyxobacter,g__Beijerinckia,g__Polynucleobacter,g__Anaerostipes,g__Oribacterium,g__Slackia,g__Methyloversatilis,g__Cloacibacterium,g__Geodermatophilus,g__Christensenella,g__Novosphingobium,g__Chryseobacterium,g__Nocardioides,g__Anoxybacillus,g__Thiomonas,g__Propionispira,g__Deinococcus,g__Thauera,g__Helicobacter,g__Varibaculum,g__Eggerthella,g__Pedobacter,g__Leptothrix,g__Arthrobacter,g__Brachybacterium,g__Sporocytophaga,g__Cellulomonas,g__Acidaminococcus,g__Klebsiella,g__Lautropia,g__Methylibium,g__Catenibacterium,g__Halomonas,g__Fibrobacter,g__Actinomyces,g__Jeotgalicoccus,g__Alicyclobacillus,g__Mycoplasma,g__Agromyces,g__Oxalobacter,g__Elusimicrobium,g__Amycolatopsis,g__Micrococcus,g__Rummeliibacillus,g__Kineococcus,g__Pseudobutyrivibrio,g__Dechloromonas,g__Ralstonia,g__Microbacterium,g__Vagococcus,g__Aerococcus,g__Listeria,g__Luteibacter,g__Akkermansia,g__Methanosphaera,g__Allobaculum,g__Knoellia,g__Enterobacter,g__Marvinbryantia,g__Cytophaga,g__Solirubrobacter,g__Rhodococcus,g__Bilophila,g__Kaistia,g__Herbaspirillum,g__Actinoplanes,g__Kurthia,g__Saccharibacillus,g__Comamonas,g__Odoribacter,g__Alistipes,g__Pantoea,g__Robinsoniella,g__Rhizobium,g__Sporosarcina,g__Avibacterium,g__Acidovorax,g__Curtobacterium,g__Anaerobiospirillum,g__Salmonella,g__Micromonospora,g__Butyricicoccus,g__Victivallis,g__Lysobacter,g__Collimonas,g__Lysinibacillus,g__Holdemania
11212.AC622,0,262,6,0,0,832,8,4170,64,104,0,0,0,0,0,0,2,0,0,0,18,2,0,0,72,0,0,0,1,23,0,0,0,0,589,0,0,0,4,0,4,0,1,0,0,0,0,0,0,0,320,168,0,0,0,0,41,0,0,0,1,0,0,2,1,0,0,0,0,60,0,0,0,0,0,0,1,0,0,0,0,328,5,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11212.AC668,3,1372,584,3,0,806,22,2674,26,342,0,0,0,3,4,4,6,0,0,0,36,8,0,0,91,2,0,0,0,71,2,3,0,2,1505,0,0,0,5,0,2,0,1,0,3,0,0,32,0,1,2,0,0,0,0,0,115,0,0,0,1,0,2,7,0,0,1,0,0,232,0,0,0,1,0,0,1,0,3,0,0,891,10,0,0,0,0,7,2,0,0,0,0,1,0,0,0,0,0,15,2,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11212.Ahyb1000,0,252,1,0,0,99,3,2,33,172,0,0,0,0,0,0,10,0,0,0,7,4,0,0,3,0,0,0,0,531,0,42,0,0,723,0,0,0,0,0,106,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,129,0,0,0,0,0,0,11,1,30,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1477,0,1,0,0,0,0,0,0,0,152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
11212.Ahyb257,0,259,0,0,1,100,2,67,42,585,0,2,0,0,0,3,13,0,17,0,41,14,0,0,4,0,0,0,0,136,0,59,0,0,817,0,0,0,0,0,26,0,0,0,3,0,0,2,2,0,1,0,0,0,0,0,697,0,0,0,0,0,0,0,2,20,0,0,5,28,1,0,0,1,0,0,0,0,0,0,0,2256,0,0,0,0,0,0,0,0,0,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
11212.Ahyb411,0,189,2,0,0,104,31,15,85,179,0,0,0,1,3,46,622,0,43,24,88,91,0,0,6,0,0,0,0,392,0,8,0,0,576,0,0,0,0,0,56,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,80,0,0,0,3,0,0,0,26,5,0,0,11,0,0,0,0,3,0,0,0,16,0,0,0,547,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
11212.APAL36,1,731,11,1,0,309,9,117,366,15,0,0,0,0,0,0,0,0,0,0,1,17,0,0,21,0,0,0,2,51,0,0,0,0,86,0,0,0,2,0,85,0,1,0,0,0,29,0,0,0,17,0,1,0,0,1,0,0,0,0,2,0,0,13,1,0,0,0,0,20,0,0,3,0,1,0,0,0,0,0,0,24,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,26,0,0,0,0,0,0,0,0,0,1,0,0,0,67,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11212.APAL37,0,1299,104,1,0,306,87,617,244,104,0,4,0,0,0,21,16,0,0,0,0,143,0,0,45,0,0,0,3,88,0,3,1,15,1184,0,0,0,4,0,61,0,0,0,0,0,31,4,0,0,12,0,7,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,31,0,0,0,0,0,0,1,0,0,0,0,53,7,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,32,2,0,0,0,1,0,0,0,0,0,0,11,0,0,48,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,24,0,39,5,0,0,0,70,0,0,0,0,0,0,0,33,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11212.APAL38,0,301,5,1,0,94,40,228,6,52,0,0,0,0,0,2,0,0,0,0,2,323,0,0,10,0,0,0,0,48,1,0,0,2,216,0,0,0,3,0,111,0,0,0,0,0,3,0,0,0,61,0,0,0,0,0,3,0,0,0,1,0,0,8,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11212.APAL39,1,232,6,2,1,106,14,142,22,11,0,0,0,5,0,3,6,0,0,0,0,300,0,0,9,1,0,0,1,31,0,0,0,0,17,0,2,0,3,0,139,1,0,0,0,0,13,0,4,0,85,0,0,2,0,0,0,0,0,0,2,1,0,9,0,1,1,0,0,11,0,0,3,0,0,0,0,0,0,0,6,16,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11212.Apalw13,0,1085,3,0,8,513,21,276,80,11,0,1,0,0,0,0,0,0,7,0,0,244,0,0,26,1,0,0,0,16,1,0,2,0,448,0,0,0,2,0,0,0,0,0,0,0,24,1,0,0,316,0,0,0,0,0,0,0,0,0,2,0,0,7,2,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,35,4602,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
