,g__Porphyromonas,g__Akkermansia,g__Coprococcus,g__Treponema,g__Streptococcus,g__Pseudoalteromonas,g__Fusobacterium,g__Staphylococcus,g__Actinomyces,g__Catonella,g__Neisseria,g__Leptotrichia,g__Bacillus,g__Lactococcus,g__Mobiluncus,g__Aerococcus,g__Dialister,g__Corynebacterium,g__Acinetobacter,g__Pseudomonas,g__Lactobacillus,g__Enterococcus,g__Kingella,g__Mannheimia,g__Bifidobacterium,g__Moraxella,g__Peptococcus,g__Mycobacterium,g__Sneathia,g__Haemophilus,g__Capnocytophaga,g__Conchiformibius,g__Prevotella,g__Anaerostipes,g__Acidaminococcus,g__Aggregatibacter,g__Rothia,g__Veillonella,g__Bacteroides,g__Lautropia,g__Kocuria,g__Shuttleworthia,g__Granulicatella,g__Tannerella,g__Megasphaera,g__Schwartzia,g__Geobacillus,g__Dorea,g__Campylobacter,g__Oribacterium,g__Ruminococcus,g__Acholeplasma,g__Actinobacillus,g__Atopobium,g__Parvimonas,g__Vagococcus,g__Pasteurella,g__Thauera,g__Erwinia,g__Scardovia,g__Gallibacterium,g__Anaerococcus,g__Butyrivibrio,g__Thermus,g__Alloscardovia,g__Peptostreptococcus,g__Bulleidia,g__Paludibacter,g__Desulfobulbus,g__Sharpea,g__Clostridium,g__Mogibacterium,g__Chelonobacter,g__Slackia,g__Selenomonas,g__Tetragenococcus,g__Gemella,g__Mycoplasma,g__Peptoniphilus,g__Serratia,g__Arcanobacterium,g__Lonepinella,g__Blautia,g__Micrococcus,g__Streptobacillus,g__Halomonas,g__Filifactor,g__Necropsobacter,g__Cardiobacterium,g__Eikenella,g__Arthrobacter,g__Cloacibacterium,g__Anaerovorax,g__Chryseobacterium,g__Listeria,g__Pedobacter,g__Bergeriella,g__Enterobacter
11808.3069.SALB.W2V1,714,0,0,22,967,0,284,0,78,9,811,54,2,0,0,0,5,2,0,0,0,0,19,0,0,0,0,0,0,11471,35,0,1667,0,0,146,558,661,0,62,0,0,94,4,4,6,0,0,41,8,0,0,12,2,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0,26,0,0,3,0,0,0,0,0,0,0,0,3,2,8,0,0,0,0,0,16,0,3,0
11808.3137.SALB.W2V1,121,0,0,3,1575,0,185,0,465,0,450,319,3,0,0,0,0,33,0,0,0,1,11,0,0,0,0,0,0,1824,14,1,1684,0,0,269,364,555,0,27,0,0,73,5,13,0,0,0,13,12,0,0,1,1,3,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
11808.3160.SALB.W2V1,560,0,0,34,1349,0,1037,0,277,10,77,516,0,0,0,0,1,24,0,0,0,6,19,0,0,0,0,0,0,2427,275,0,2241,0,0,49,138,687,0,20,0,0,198,23,20,0,0,0,204,210,0,0,2,14,3,1,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,53,0,1,1,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,2,0,1,0
11808.3182.SALB.W2V1,68,0,0,51,2768,0,103,0,374,9,108,103,0,0,0,0,4,38,0,1,0,1,16,0,3,0,4,0,0,15736,44,0,528,0,0,2152,947,906,0,1,0,2,102,11,2,1,0,0,56,52,0,0,10,1,1,2,0,0,0,4,0,0,6,0,0,0,0,18,0,0,0,3,1,0,47,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,0,3,0,0,0
11808.3193.SALB.W2V1,74,0,0,29,1223,0,118,0,465,8,47,45,0,4,0,0,10,43,0,0,0,1,7,0,0,0,1,0,0,11970,19,0,1384,0,0,107,445,2736,0,17,0,0,68,6,26,1,0,0,63,31,0,0,23,8,10,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,5,0,0,10,0,0,2,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,1,0,0,0
11808.3216.SALB.W2V1,10,0,0,5,500,0,31,0,77,2,264,4,0,0,0,0,4,23,0,0,0,1,3,0,0,0,0,0,0,6098,25,1,10895,0,0,249,70,1268,0,14,0,1,28,1,44,0,0,0,30,9,0,0,2,8,1,0,0,0,0,0,0,0,0,7,0,0,4,3,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11808.3261.SALB.W2V1,751,0,0,429,3382,0,889,0,496,27,122,332,1,0,0,0,58,39,0,0,1,3,11,0,4,0,2,0,0,7034,38,0,14541,0,0,654,478,3294,1,6,0,5,253,24,208,23,0,0,322,123,1,0,192,90,9,1,0,0,0,3,0,1,3,0,6,0,31,10,3,8,0,28,0,2,200,0,0,2,0,0,0,0,0,0,0,0,18,0,9,0,0,0,0,0,6,0,0,0
11808.3418.SALB.W2V1,356,0,0,184,6841,0,501,1,287,4,26,848,1,1,0,0,61,228,0,0,2,1,54,0,5,0,2,0,0,2135,112,0,12099,0,0,458,340,4404,0,112,0,13,138,30,147,3,0,0,167,68,2,0,28,70,18,0,0,0,0,23,0,0,3,0,115,0,16,3,0,0,0,9,1,0,700,0,0,11,0,0,0,0,0,0,0,0,12,0,17,0,0,0,0,0,3,0,0,0
11808.3452.SALB.W2V1,132,0,0,0,1102,0,145,0,363,15,270,230,3,0,0,0,8,17,0,0,0,2,10,0,5,0,0,0,0,3598,35,0,12548,0,0,95,255,5022,0,59,0,0,132,0,649,0,0,0,256,167,0,0,8,178,0,1,0,0,0,0,0,0,7,0,0,0,75,0,0,0,0,13,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0
11808.3474.SALB.W2V1,30,0,0,6,1714,0,20,0,145,2,10,59,0,0,0,0,0,7,0,0,0,3,5,0,9,0,0,0,0,4076,9,0,10354,0,0,102,172,2608,0,3,0,0,58,0,77,2,0,0,48,40,0,1,13,22,2,1,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,4,0,0,29,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
